,ID,Customer_ID,Month,Name,Age,SSN,Occupation,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Type_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,Credit_Score
0,0xa658,CUS_0x936d,March,Alistair Barrs,8466,703-48-3482,_______,100433.58,8074.465,1,5,10,2,"Student Loan, and Debt Consolidation Loan",13,4,12.59,3.0,Good,1023.93,33.47139502608881,20 Years and 5 Months,No,100.16346588894956,758.0704866746678,Low_spent_Medium_value_payments,229.21254743638283,Standard
1,0x6739,CUS_0x9a29,August,Phila,25,339-28-0072,Developer,33119.82,3024.985,10,5,32,5,"Home Equity Loan, Mortgage Loan, Home Equity Loan, Debt Consolidation Loan, and Not Specified",50,18,15.79,10.0,Bad,2545.0,33.810566545145186,14 Years and 8 Months,Yes,111.4227017745117,,Low_spent_Small_value_payments,370.6074980582689,Poor
2,0xdcf5,CUS_0x12a9,April,Driverb,44,583-20-9758,_______,44822.21,3555.1841666666664,1,4,2,4,"Credit-Builder Loan, Debt Consolidation Loan, Payday Loan, and Debt Consolidation Loan",14,8,4.03,0.0,Good,730.64,31.145738793891567,23 Years and 10 Months,NM,135.04428557554093,256.4742969677053,Low_spent_Medium_value_payments,243.99983412342044,Standard
3,0x14453,CUS_0x3bad,June,Prasadc,29,510-25-2095,Musician,142081.48,11771.123333333337,6,6,15,3_,"Personal Loan, Not Specified, and Mortgage Loan",29,20,8.21,4.0,Standard,932.32,28.40952606309215,27 Years and 0 Months,No,180.61647832677372,423.96126196668365,Low_spent_Small_value_payments,862.534593039876,Standard
4,0x1198e,CUS_0xa3e1,January,Poornimai,45,943-92-4350,Scientist,19267.27_,1374.605833333333,10,8,25,6,"Home Equity Loan, Auto Loan, Payday Loan, Not Specified, Auto Loan, and Not Specified",33,,19.7,6.0,Bad,3777.55,28.373425998984334,10 Years and 3 Months,Yes,78.95482525642049,133.56850235207634,Low_spent_Small_value_payments,214.93725572483646,Poor
5,0x241ce,CUS_0x5e18,January,Kuehnenn,49,287-80-7372,Entrepreneur,177723.8,15038.316666666666,3,4,1,3,"Mortgage Loan, Student Loan, and Student Loan",-2,12,16.6,2.0,_,1292.23,43.41809621818838,29 Years and 11 Months,No,338.78995320040883,221.9214457492741,High_spent_Large_value_payments,1183.1202677169836,Good
6,0x84e0,CUS_0x2e1d,March,Nanette Byrness,18,408-57-4420,Accountant,53251.36,4636.613333333334,5,3,20,3,"Debt Consolidation Loan, Credit-Builder Loan, and Payday Loan",30,,19.82,7.0,Standard,861.67,26.007240930627432,27 Years and 0 Months,NM,128.20984422984478,181.32851493815124,Low_spent_Large_value_payments,424.1229741653374,Standard
7,0xc7a3,CUS_0xb4c5,June,Michaelj,51,873-29-1123,Journalist,61358.82,4923.235,7,7,14,0,,15,15,5.99,3.0,Standard,537.91,35.41872900165368,25 Years and 2 Months,No,0.0,161.55547025142175,Low_spent_Large_value_payments,600.7680297485782,Standard
8,0x23a68,CUS_0xb4fd,March,Chris Reesej,27,400-77-1931,_______,37070.0,2939.166666666666,3,4,4,4,"Mortgage Loan, Credit-Builder Loan, Debt Consolidation Loan, and Personal Loan",13,12,14.73,1.0,Good,387.26,34.85731395069984,27 Years and 10 Months,No,103.09266477143572,173.65585522573414,Low_spent_Small_value_payments,307.1681466694969,Good
9,0x227d,CUS_0x6b44,April,Dan Levined,39_,453-58-1018,Developer,20742.46,1801.5383333333327,5,4,8,5,"Home Equity Loan, Mortgage Loan, Mortgage Loan, Not Specified, and Student Loan",12,,16.0,8.0,_,1319.87,35.607533641473864,16 Years and 5 Months,Yes,60.06611255618279,,!@9#%8,316.0208644912305,Standard
